sample_id,formula,working_ion,anion_family,target
mp-767802,Li2V(CO3)2,Li,oxide,170.3921685748869
mp-772273,Li2MnH4(SO5)2,Li,sulfide,112.31740824363624
mp-779382,Li3V4(OF3)3,Li,halide,613.9333816766286
mp-746688,K4MnH6(S2O9)2,K,sulfide,101.07012929743335
mp-1206768,Rb2NaVCl6,Na,halide,161.55781901297772
mp-1777783,ZnBiF5,Zn,halide,363.0689496737792
mp-758364,LiP4WO12,Li,phosphate_or_polyanion,80.74682849941146
mp-756497,LiFeO2,Li,oxide,93.73325278330326
mp-554381,Ca2VBiO6,Ca,oxide,291.51394873635184
mp-1176410,Na2NiPCO7,Na,phosphate_or_polyanion,36.52359941410366
mp-1206176,Rb2NaCuF6,Na,halide,287.3581843731014
mp-767942,Li3Fe3CoO8,Li,oxide,301.9815653771596
mp-753139,Li6CuF8,Li,halide,311.71837428921214
mp-772699,Li4Mn5FeO12,Li,oxide,746.8953896181606
mvc-5731,ZnWO3,Zn,oxide,1368.2347541554643
mp-1111140,K3NiF6,K,halide,265.30043974723696
mp-1176604,LiTiSiO4,Li,phosphate_or_polyanion,51.911969720597725
mp-753732,Li2CoSiO4,Li,phosphate_or_polyanion,130.10775878943764
mp-6226,NaSn4(PO4)3,Na,phosphate_or_polyanion,127.47591918833314
mp-1094256,Y3Sn,other,other,3520.242486015025
mp-777521,Li11V6O5F19,Li,halide,588.3207478887931
mp-778336,LiMnVP2(O4F)2,Li,halide,247.17481898223207
mp-1177150,Li5Mn3Cu(PO4)4,Li,phosphate_or_polyanion,137.9119443225009
mp-753053,Li2VF4,Li,halide,276.3273825988436
mp-1228767,Ca19Co2(PO4)14,Ca,phosphate_or_polyanion,37.67190079393989
mp-763066,Li6Fe3Co7O20,Li,oxide,509.53560641325737
mp-1041343,BaCaSbF7,Ca,halide,543.0295519071638
mp-1177389,Li4Mn3Cr2Sn(PO4)6,Li,phosphate_or_polyanion,359.3320891438682
mp-1383318,CaLa2CrO6,Ca,oxide,651.6114428812456
mp-1047458,Ca(WO2)2,Ca,oxide,123.0051361132224
mp-975216,RbReO3,other,oxide,703.7681819670174
mp-777769,Li4MnH6(S2O9)2,Li,sulfide,117.09650503025702
mp-782632,LiNi(SO4)2,Li,sulfide,309.32335033292844
mp-1046397,Ba2YTlNi2O7,other,oxide,684.6787166998698
mp-1248625,MgMn(SiO3)2,Mg,phosphate_or_polyanion,370.4256217945852
mp-758427,Li2Cu3(CO3)3,Li,oxide,40.745262703856575
mp-1045593,YTi4(CuO4)3,other,oxide,640.6966516894324
mp-763916,Li5Cr3FeO8,Li,oxide,575.4319620695143
mp-1302395,Li2Ti2Mn3O10,Li,oxide,117.52434495862916
mp-1044208,Mg(MoO2)4,Mg,oxide,125.38419347395022
mp-975531,RbCr5Te8,other,other,76.36827796790884
mp-770260,Li8MnO6,Li,oxide,710.8609965312305
mp-775679,Li2Mn3CrO8,Li,oxide,151.7280805675106
mp-853172,Li2VF4,Li,halide,1099.0760145552513
mp-540110,LiFePO4,Li,phosphate_or_polyanion,503.1593534411421
mp-1047052,Nb2Zn2WO8,Zn,oxide,564.7612339094352
mp-867959,Li3Ti2VO6,Li,oxide,397.1697057792907
mp-753964,Li4Mn5NiO12,Li,oxide,762.4382444961625
mp-764005,Li4TiV3O8,Li,oxide,292.7016868424083
mp-18162,Li(CuO)2,Li,oxide,106.95027039591793
mp-18767,LiMnO2,Li,oxide,573.9247945092623
