sample_id,formula,working_ion,anion_family,target
mp-1044215,ZnCr4O8,Zn,oxide,1.8453232899999965
mp-1207640,YWO2,other,oxide,0.4353234916666653
mp-999072,Ti2AlZn,Zn,other,0.8874231600000014
mvc-12108,CaMn2O4,Ca,oxide,3.1501036662499997
mp-772691,Na2VSiCO7,Na,phosphate_or_polyanion,3.4501298250000003
mp-762171,Li4Fe3Co3(SbO8)2,Li,oxide,4.389150392500005
mp-755668,Li2TiMnO4,Li,oxide,2.201534298333333
mp-765603,Li4FeCo3O8,Li,oxide,1.8330741333333311
mp-763554,LiVP2O7,Li,phosphate_or_polyanion,4.392574567499997
mp-31549,Li2CoP2O7,Li,phosphate_or_polyanion,4.022136864999999
mp-29784,K2Mo9S11,K,sulfide,2.404092688000013
mp-765114,Li2Fe(CO3)2,Li,oxide,3.2630121950000066
mp-768584,Li4MnV(PO4)3,Li,phosphate_or_polyanion,3.311050718333353
mp-1177107,Li5Mn2Co2(PO4)4,Li,phosphate_or_polyanion,0.4788998333333485
mp-1041340,Mn2ZnO4,Zn,oxide,1.8080518350000043
mp-773211,Li3FeSiCO7,Li,phosphate_or_polyanion,4.443425414999998
mvc-11476,Mg(VS2)4,Mg,sulfide,0.9877471500000056
mp-769242,Li2Cu(HO)4,Li,oxide,2.901633593333334
mp-25847,Li3Ni2(PO4)3,Li,phosphate_or_polyanion,4.969451750833333
mp-767940,Li2VF5,Li,halide,4.569176967500001
mp-761338,LiVPO4,Li,phosphate_or_polyanion,2.2492779999999946
mp-771223,Li5Mn3(SnO5)2,Li,oxide,2.964518775000021
mp-756446,LiNiO2,Li,oxide,3.7902155583333337
mp-561682,Cs(MoS)3,other,sulfide,2.4054920154310517
mp-758412,Li8Mn7Co(PO4)12,Li,phosphate_or_polyanion,4.827141599583332
mp-1042413,TaZnBiO5,Zn,oxide,3.029713646249999
mp-1040921,MgMn2O4,Mg,oxide,2.9786118216666653
mp-777063,Li10Mn3Cr3(FeO8)2,Li,oxide,2.189703181666667
mp-560780,Na4Ni3P4O15,Na,phosphate_or_polyanion,5.320454675301722
mp-24133,K2NiH12(SO7)2,K,sulfide,5.152054105499992
mvc-2603,CaV5O7,Ca,oxide,2.0683529012499973
